feature,importance
Bwd Packet Length Std,0.29426458
Average Packet Size,0.21067972
Bwd Header Length,0.18178338
Max Packet Length,0.09276373
Bwd Packet Length Min,0.046305146
Fwd Packet Length Std,0.03320225
FIN Flag Count,0.013160598
Active Std,0.012181491
Destination Port,0.012178894
Packet Length Mean,0.011429725
min_seg_size_forward,0.008837295
Total Length of Bwd Packets,0.006602266
Idle Max,0.005218964
URG Flag Count,0.005145501
Total Fwd Packets,0.0042717536
Fwd Header Length,0.0040488103
Init_Win_bytes_forward,0.003938581
Fwd PSH Flags,0.0036857456
Total Backward Packets,0.0035295456
Flow Packets/s,0.0034025214
Min Packet Length,0.0033712992
Fwd IAT Min,0.0030271292
Flow IAT Mean,0.0028640884
act_data_pkt_fwd,0.0027784952
PSH Flag Count,0.0027643645
Total Length of Fwd Packets,0.0024141865
Fwd Packet Length Min,0.0023987198
Packet Length Std,0.0023968702
Init_Win_bytes_backward,0.002212709
Fwd IAT Total,0.0020114742
Bwd IAT Min,0.0014432267
Bwd IAT Std,0.0013860759
Bwd IAT Max,0.001285721
Idle Mean,0.0012498808
Flow IAT Min,0.0011835309
Bwd Packet Length Max,0.0011057412
Bwd Packets/s,0.0010831452
Fwd Packet Length Mean,0.0010791629
Bwd Packet Length Mean,0.0010753726
Fwd IAT Mean,0.00087636994
Flow Duration,0.0008300481
Fwd IAT Max,0.00081710477
Active Min,0.00065056275
Fwd Packet Length Max,0.0004523437
Idle Min,0.00034669228
Flow Bytes/s,0.00032911042
ACK Flag Count,0.00029900842
Fwd IAT Std,0.00029772075
Fwd Packets/s,0.00028239566
Active Max,0.00019325627
Down/Up Ratio,0.00019244902
Flow IAT Std,0.00017648286
Active Mean,0.0001498748
Flow IAT Max,0.00014938286
Bwd IAT Total,0.0001484209
Bwd IAT Mean,4.6973124e-05
CWE Flag Count,0.0
Subflow Bwd Bytes,0.0
Bwd URG Flags,0.0
Idle Std,0.0
Fwd URG Flags,0.0
Packet Length Variance,0.0
Bwd PSH Flags,0.0
SYN Flag Count,0.0
RST Flag Count,0.0
Subflow Fwd Bytes,0.0
Subflow Bwd Packets,0.0
ECE Flag Count,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Header Length.1,0.0
Avg Bwd Segment Size,0.0
Avg Fwd Segment Size,0.0
Fwd Avg Bulk Rate,0.0
